PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,20,685,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,30,715,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,40,745,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,50,795,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,60,845,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,70,945,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,F,1495,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-87,I,1645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,10,575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,20,615,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,30,645,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,40,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,50,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,60,775,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,70,875,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,F,1425,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-91,I,1575,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,10,375,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,20,395,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,30,410,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,40,430,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,50,450,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,60,470,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,70,490,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,F,650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,I,710,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,41,430,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-93,42,450,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,10,400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,20,420,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,30,435,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,40,455,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,50,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,60,495,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,70,515,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,F,675,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,I,735,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,41,455,,,,,,,,,,,,,,,,,,
