,PriceList,Catalog,GradeGroup,Price
387,UFCA 1711E V4,30195-03,60,1000
389,UFCA 1711E V4,30195-03,F,1650
390,UFCA 1711E V4,30195-03,I,1850
391,UFCA 1711E V4,30195-07,10,750
392,UFCA 1711E V4,30195-07,20,790
393,UFCA 1711E V4,30195-07,30,820
394,UFCA 1711E V4,30195-07,40,850
395,UFCA 1711E V4,30195-07,50,900
396,UFCA 1711E V4,30195-07,60,950
398,UFCA 1711E V4,30195-07,F,1600
399,UFCA 1711E V4,30195-07,I,1800
400,UFCA 1711E V4,30195-08,10,750
401,UFCA 1711E V4,30195-08,20,790
402,UFCA 1711E V4,30195-08,30,820
403,UFCA 1711E V4,30195-08,40,850
404,UFCA 1711E V4,30195-08,50,900
405,UFCA 1711E V4,30195-08,60,950
407,UFCA 1711E V4,30195-08,F,1600
408,UFCA 1711E V4,30195-08,I,1800
409,UFCA 1711E V4,30195-15,10,750
410,UFCA 1711E V4,30195-15,20,790
411,UFCA 1711E V4,30195-15,30,820
412,UFCA 1711E V4,30195-15,40,850
413,UFCA 1711E V4,30195-15,50,900
414,UFCA 1711E V4,30195-15,60,950
416,UFCA 1711E V4,30195-15,F,1600
417,UFCA 1711E V4,30195-15,I,1800
418,UFCA 1711E V4,30195-16,10,750
419,UFCA 1711E V4,30195-16,20,790
420,UFCA 1711E V4,30195-16,30,820
421,UFCA 1711E V4,30195-16,40,850
422,UFCA 1711E V4,30195-16,50,900
423,UFCA 1711E V4,30195-16,60,950
425,UFCA 1711E V4,30195-16,F,1600
426,UFCA 1711E V4,30195-16,I,1800
427,UFCA 1711E V4,30195-17,10,775
428,UFCA 1711E V4,30195-17,20,815
429,UFCA 1711E V4,30195-17,30,845
430,UFCA 1711E V4,30195-17,40,875
431,UFCA 1711E V4,30195-17,50,925
432,UFCA 1711E V4,30195-17,60,975
434,UFCA 1711E V4,30195-17,F,1625
435,UFCA 1711E V4,30195-17,I,1825
436,UFCA 1711E V4,30195-18,10,775
437,UFCA 1711E V4,30195-18,20,815
438,UFCA 1711E V4,30195-18,30,845
439,UFCA 1711E V4,30195-18,40,875
440,UFCA 1711E V4,30195-18,50,925
441,UFCA 1711E V4,30195-18,60,975
443,UFCA 1711E V4,30195-18,F,1625
444,UFCA 1711E V4,30195-18,I,1825
445,UFCA 1711E V4,30195-24,10,350
446,UFCA 1711E V4,30195-24,20,370
447,UFCA 1711E V4,30195-24,30,385
448,UFCA 1711E V4,30195-24,40,405
449,UFCA 1711E V4,30195-24,50,425
450,UFCA 1711E V4,30195-24,60,445
452,UFCA 1711E V4,30195-24,F,690
453,UFCA 1711E V4,30195-24,I,750
454,UFCA 1711E V4,30195-86,10,925
455,UFCA 1711E V4,30195-86,20,965
456,UFCA 1711E V4,30195-86,30,995
457,UFCA 1711E V4,30195-86,40,1025
458,UFCA 1711E V4,30195-86,50,1075
459,UFCA 1711E V4,30195-86,60,1125
461,UFCA 1711E V4,30195-86,F,1775
462,UFCA 1711E V4,30195-86,I,1975
463,UFCA 1711E V4,30195-87,10,925
464,UFCA 1711E V4,30195-87,20,965
465,UFCA 1711E V4,30195-87,30,995
466,UFCA 1711E V4,30195-87,40,1025
467,UFCA 1711E V4,30195-87,50,1075
468,UFCA 1711E V4,30195-87,60,1125
470,UFCA 1711E V4,30195-87,F,1775
471,UFCA 1711E V4,30195-87,I,1975
472,UFCA 1711E V4,30195-91,10,825
473,UFCA 1711E V4,30195-91,20,865
474,UFCA 1711E V4,30195-91,30,895
475,UFCA 1711E V4,30195-91,40,925
476,UFCA 1711E V4,30195-91,50,975
477,UFCA 1711E V4,30195-91,60,1025
479,UFCA 1711E V4,30195-91,F,1675
480,UFCA 1711E V4,30195-91,I,1875
481,UFCA 1711E V4,30195-96,10,825
482,UFCA 1711E V4,30195-96,20,865
483,UFCA 1711E V4,30195-96,30,895
484,UFCA 1711E V4,30195-96,40,925
485,UFCA 1711E V4,30195-96,50,975
486,UFCA 1711E V4,30195-96,60,1025
488,UFCA 1711E V4,30195-96,F,1675
489,UFCA 1711E V4,30195-96,I,1875
490,UFCA 1711E V4,30195-97,10,825
491,UFCA 1711E V4,30195-97,20,865
492,UFCA 1711E V4,30195-97,30,895
493,UFCA 1711E V4,30195-97,40,925
494,UFCA 1711E V4,30195-97,50,975
495,UFCA 1711E V4,30195-97,60,1025
