PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,300,915,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,400,960,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,500,1005,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,600,1050,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,700,1095,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,800,1145,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SC,M,1500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,100,675,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,200,715,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,300,765,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,400,810,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,500,855,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,600,900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,700,945,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,800,995,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37160-SS,M,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,100,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,200,1490,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,300,1540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,400,1585,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,500,1630,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,600,1675,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,700,1720,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,800,1770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,M,2260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,100,700,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,200,740,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,300,790,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,400,835,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,500,880,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,600,925,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,700,970,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,800,1020,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,M,1375,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,100,1225,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,200,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,300,1315,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,400,1360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,500,1405,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,600,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,700,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,800,1545,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,M,1900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,100,400,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,200,420,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,300,435,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,400,450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,500,460,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,600,470,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,700,480,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,800,490,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,M,620,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-07,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-08,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-15,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-16,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,100,1175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,200,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,300,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,400,1310,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,500,1355,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,600,1400,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,700,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,800,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-17,M,1850,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,100,1175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,200,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,300,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,400,1310,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,500,1355,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,600,1400,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,700,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,800,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-18,M,1850,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,100,500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,200,540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,300,590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,400,635,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,500,680,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,600,725,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,700,770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,800,800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,M,950,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,100,1500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,200,1540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,300,1590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,400,1635,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,500,1680,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,600,1725,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,700,1770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,800,1820,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-86,M,2175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,100,1500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,200,1540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,300,1590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,400,1635,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,500,1680,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,600,1725,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,700,1770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,800,1820,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-87,M,2175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,100,1400,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,200,1440,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,300,1490,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,400,1535,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,500,1580,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,600,1625,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,700,1670,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,800,1720,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,M,2075,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,100,1225,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,200,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,300,1315,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,400,1360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,500,1405,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,600,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,700,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,800,1545,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-96,M,1900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,100,1225,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,200,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,300,1315,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,400,1360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,500,1405,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,600,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,700,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,800,1545,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-97,M,1900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,100,1550,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,200,1590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,300,1640,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,400,1685,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,500,1730,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,600,1775,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,700,1820,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,800,1870,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,M,2360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,100,1550,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,200,1590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,300,1640,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,400,1685,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,500,1730,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,600,1775,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,700,1820,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,800,1870,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-01,M,2360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,100,800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,200,840,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,300,890,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,400,935,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,500,980,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,600,1025,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,700,1070,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,800,1120,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-02,M,1475,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,100,1325,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,200,1365,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,300,1415,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,400,1460,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,500,1505,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,600,1550,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,700,1595,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,800,1645,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-03,M,2000,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,100,500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,200,520,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,300,535,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,400,550,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,500,560,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,600,570,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,700,580,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,800,590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-04,M,720,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,100,600,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,200,640,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,300,690,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,400,735,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,500,780,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,600,825,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,700,870,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,800,900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-24,M,1050,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,100,1500,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,200,1540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,300,1590,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,400,1635,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,500,1680,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,600,1725,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,700,1770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,800,1820,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-91,M,2175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,100,1650,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,200,1690,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,300,1740,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,400,1785,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,500,1830,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,600,1875,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,700,1920,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,800,1970,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37095-S3,M,2460,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,100,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,200,1490,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,300,1540,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,400,1585,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,500,1630,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,600,1675,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,700,1720,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,800,1770,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-01,M,2260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,100,700,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,200,740,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,300,790,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,400,835,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,500,880,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,600,925,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,700,970,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,800,1020,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-02,M,1375,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,100,1225,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,200,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,300,1315,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,400,1360,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,500,1405,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,600,1450,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,700,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,800,1545,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-03,M,1900,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-07,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-08,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-15,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,100,1125,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,200,1165,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,300,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,400,1260,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,500,1305,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,600,1350,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,700,1395,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,800,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-16,M,1800,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,100,1175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,200,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,300,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,400,1310,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,500,1355,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,600,1400,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,700,1445,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,800,1495,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-17,M,1850,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,100,1175,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,200,1215,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,300,1265,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,400,1310,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,500,1355,,,,,,,,,,,,,,,,,,,,,,,
 UFCA 1711E V4,37195-18,600,1400,,,,,,,,,,,,,,,,,,,,,,,
