PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,10,800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,20,820,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,30,835,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,40,855,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,50,875,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,60,895,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,70,915,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,F,1140,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-06,I,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,10,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,20,990,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,30,1020,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,40,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,50,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,60,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,70,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,F,1800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-07,I,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,10,950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,20,990,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,30,1020,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,40,1050,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,50,1100,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,60,1150,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,70,1200,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,F,1800,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-08,I,1950,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,10,615,,,,,,,,,,,,,,,,,,,,,,,
